City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Sassandra,CI,79.39,scattered clouds,4.95,-6.0833,la terrasse
300,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
303,Nata,PA,76.46,clear sky,8.3333,-80.5167,Rey David
306,Majene,ID,86.13,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
309,Pangkalanbuun,ID,84.52,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
311,Quatre Cocos,MU,84.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
313,Nha Trang,VN,82.4,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
314,Honiara,SB,80.51,broken clouds,-9.4333,159.95,Heritage Park Hotel
315,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
319,Tual,ID,79.41,light rain,-5.6667,132.75,Grand Vilia Hotel
326,Soufriere,LC,76.6,few clouds,13.8562,-61.0566,Anse Chastanet Resort
330,Sao Jose Da Coroa Grande,BR,76.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
332,Dalby,AU,86.7,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
337,Palmas Bellas,PA,77.09,scattered clouds,9.2319,-80.0867,Estación de Chagres
341,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
343,Kilimatinde,TZ,82.99,overcast clouds,-5.85,34.95,
345,Japura,ID,84.76,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
347,Bengkulu,ID,84.96,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
348,Flinders,AU,76.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
349,Freetown,SL,76.71,mist,8.484,-13.2299,The Country Lodge Hotel
353,San Luis,AR,75.02,clear sky,-33.295,-66.3356,Huarpes Hotel
364,Badou,TG,81.28,few clouds,7.5833,0.6,Hôtel Abuta
366,Vao,NC,77.2,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
373,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
381,Koumac,NC,80.92,broken clouds,-20.5667,164.2833,Le Monitel
386,Rivadavia,AR,77.47,overcast clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
387,Port Macquarie,AU,80.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
389,Batemans Bay,AU,81.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
393,Puerto Escondido,MX,75.06,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
395,Hambantota,LK,82.74,heavy intensity rain,6.1241,81.1185,Bungalow 63
398,Cap Malheureux,MU,85.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
399,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
401,Alugan,PH,81.19,broken clouds,12.2188,125.4808,JM Lodge
404,Innisfail,AU,82.22,overcast clouds,-17.5333,146.0333,Moondarra Motel
405,Samarai,PG,78.24,moderate rain,-10.6167,150.6667,Nuli Sapi
409,Son La,VN,75.25,scattered clouds,21.3167,103.9,Galaxy Grand Hotel
412,Merauke,ID,82.83,overcast clouds,-8.4667,140.3333,
418,Tainan,TW,78.58,few clouds,22.9908,120.2133,Tie Dao Hotel
426,Calderitas,MX,75.61,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
427,Noumea,NC,82.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
