City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Saryozek,KZ,2022-01-07 17:23:33,44.3583,77.9753,32.94,99,100,2.93
67,Angoche,MZ,2022-01-07 17:23:33,-16.2325,39.9086,81.07,79,96,4.03
68,Saint George,US,2022-01-07 17:23:33,37.1041,-113.5841,58.53,87,0,0.0
69,Kieta,PG,2022-01-07 17:23:34,-6.2167,155.6333,77.92,80,100,2.77
70,Khatanga,RU,2022-01-07 17:23:34,71.9667,102.5,-15.32,98,95,9.28
71,Coahuayana,MX,2022-01-07 17:23:35,18.7333,-103.6833,83.68,47,0,2.3
72,Port Elizabeth,ZA,2022-01-07 17:23:35,-33.918,25.5701,72.1,88,100,13.8
73,Luanda,AO,2022-01-07 17:18:37,-8.8368,13.2343,80.6,78,20,10.36
74,Mayo,US,2022-01-07 17:23:35,38.8876,-76.5119,31.41,56,11,11.99
75,Niquero,CU,2022-01-07 17:23:36,20.0431,-77.5828,83.64,56,0,7.78
76,Kaitangata,NZ,2022-01-07 17:23:36,-46.2817,169.8464,46.27,96,97,2.48
77,Sandakan,MY,2022-01-07 17:23:37,5.8402,118.1179,74.88,100,20,1.14
78,Ouadda,CF,2022-01-07 17:23:37,8.0777,22.4007,81.91,25,14,2.37
79,Luderitz,NA,2022-01-07 17:23:37,-26.6481,15.1594,67.93,74,0,17.47
80,Pochutla,MX,2022-01-07 17:23:38,15.7432,-96.4661,86.83,52,18,5.95
81,Port Alfred,ZA,2022-01-07 17:23:38,-33.5906,26.891,71.17,90,100,20.89
82,Nizwa,OM,2022-01-07 17:23:38,22.9333,57.5333,61.7,39,0,3.83
83,Butaritari,KI,2022-01-07 17:23:39,3.0707,172.7902,80.49,81,88,13.56
84,Ushuaia,AR,2022-01-07 17:21:35,-54.8,-68.3,55.06,44,75,5.75
85,Cape Town,ZA,2022-01-07 17:20:09,-33.9258,18.4232,84.11,50,0,3.0
86,Hervey Bay,AU,2022-01-07 17:23:39,-25.2986,152.8535,80.04,95,46,5.99
87,Norman Wells,CA,2022-01-07 17:23:40,65.282,-126.8329,-5.73,91,100,18.86
